Name,Base,Category,Files & media,Description,System
UBlueprintGameplayTagLibrary,UBlueprintFunctionLibrary (Reference%201378d590ff388064a157f911a958c504/UBlueprintFunctionLibrary%201378d590ff38807abacbffc943347ae7.html),Class,,,GAS
UBoxComponent,UShapeComponent (Reference%201378d590ff388064a157f911a958c504/UShapeComponent%201408d590ff3880048ff8d8e4b89e0f31.html),Class,,,
UBTFunctionLibrary,UBlueprintFunctionLibrary (Reference%201378d590ff388064a157f911a958c504/UBlueprintFunctionLibrary%201378d590ff38807abacbffc943347ae7.html),Class,,,
UBTService_BlueprintBase,,Class,,,AI
UBTTask_BlueprintBase,UBTTaskNode (Reference%201378d590ff388064a157f911a958c504/UBTTaskNode%2018f8d590ff3880119d39dfba92ef32fd.html),Class,,,AI
UBTTaskNode,UBTTask_BlueprintBase (Reference%201378d590ff388064a157f911a958c504/UBTTask_BlueprintBase%2018f8d590ff3880948f0dff840a2b2ca1.html),Class,,,
UCameraComponent,USceneComponent (Reference%201378d590ff388064a157f911a958c504/USceneComponent%2013c8d590ff38805a918ff25ad6bf4a96.html),Class,,,
UCapsuleComponent,UShapeComponent (Reference%201378d590ff388064a157f911a958c504/UShapeComponent%201408d590ff3880048ff8d8e4b89e0f31.html),Class,,,
UCharacterMovementComponent,UPawnMovementComponent (Reference%201378d590ff388064a157f911a958c504/UPawnMovementComponent%2018d8d590ff38808b8aa0d4c0a15829cf.html),Class,,,
UCLASS,,Macro,,,
UDataAsset,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UE_LOG,,Macro,,,
UEngine,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UEnhancedInputComponent,,Class,,,
UEnhancedInputLocalPlayerSubsystem,,Class,,,
UFieldNodeFloat,,Class,,,
UFUNCTION,,Macro,,,
UFXSystemComponent,UPrimitiveComponent (Reference%201378d590ff388064a157f911a958c504/UPrimitiveComponent%2013d8d590ff3880d6a153d38d7e8ffecf.html),Class,,,
UGameInstance,,Class,,,
UGameplayAbility,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,GAS
UGameplayEffect,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,Reference%201378d590ff388064a157f911a958c504/Screenshot_2025-01-08_151750.png,,GAS
UGameplayEffectCalculation,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,GAS
UGameplayEffectExecutionCalculation,,Class,,,GAS
UGameplayModMagnitudeCalculation,UGameplayEffectCalculation (Reference%201378d590ff388064a157f911a958c504/UGameplayEffectCalculation%2018f8d590ff3880d88a10de49d16f0bd2.html),Class,,,GAS
UGameplayStatics,UBlueprintFunctionLibrary (Reference%201378d590ff388064a157f911a958c504/UBlueprintFunctionLibrary%201378d590ff38807abacbffc943347ae7.html),Class,,,
UGameplayTagsManager,,Class,,,
UGameplayTasksComponent,UActorComponent (Reference%201378d590ff388064a157f911a958c504/UActorComponent%2013c8d590ff388034b1ead8167ef4e4cc.html),Class,,,
UGeometryCollectionComponent,,Class,,,
UInputAction,UDataAsset (Reference%201378d590ff388064a157f911a958c504/UDataAsset%201898d590ff3880d0883ddedbb9d5ef42.html),Class,,,
UInputComponent,,Class,,,
UInputMappingContext,UDataAsset (Reference%201378d590ff388064a157f911a958c504/UDataAsset%201898d590ff3880d0883ddedbb9d5ef42.html),Class,,,
UKismetSystemLibrary,,Class,,,
ULocalPlayer,UPlayer (Reference%201378d590ff388064a157f911a958c504/UPlayer%201888d590ff38809cbe14d1b3ac4ac0cd.html),Class,,Each player that is active on the current client/listen server has a LocalPlayer,
ULocalPlayerSubsystem,,Class,,,
UMaterialInstance,,Class,,,
UMaterialInstanceDynamic,,Class,,,
UMeshComponent,UPrimitiveComponent (Reference%201378d590ff388064a157f911a958c504/UPrimitiveComponent%2013d8d590ff3880d6a153d38d7e8ffecf.html),Class,,,
UMovementComponent,"UActorComponent (Reference%201378d590ff388064a157f911a958c504/UActorComponent%2013c8d590ff388034b1ead8167ef4e4cc.html), UProjectileMovementComponent (Reference%201378d590ff388064a157f911a958c504/UProjectileMovementComponent%2018f8d590ff38800dbffec84fd0bc878d.html)",Class,,,
UNavigationSystemV1,,Class,,,
UNavMovementComponent,UMovementComponent (Reference%201378d590ff388064a157f911a958c504/UMovementComponent%2018d8d590ff3880369122d7011846c0f8.html),Class,,,
UNiagaraComponent,UFXSystemComponent (Reference%201378d590ff388064a157f911a958c504/UFXSystemComponent%2018f8d590ff388094a9cbce92adf05fc0.html),Class,,,
UNiagaraFunctionLibrary,,Class,,,
UNiagaraSystem,,Class,,,
UObject,,Class,,,
UObjectBaseUtility,,Class,,,
UPawnExtensionComponentBase,UActorComponent (Reference%201378d590ff388064a157f911a958c504/UActorComponent%2013c8d590ff388034b1ead8167ef4e4cc.html),Class,,,
UPawnMovementComponent,UNavMovementComponent (Reference%201378d590ff388064a157f911a958c504/UNavMovementComponent%2018d8d590ff388065a84cef04a062b1bc.html),Class,,,
UPlayer,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
UPrimitiveComponent,USceneComponent (Reference%201378d590ff388064a157f911a958c504/USceneComponent%2013c8d590ff38805a918ff25ad6bf4a96.html),Class,,,
UProjectileMovementComponent,UMovementComponent (Reference%201378d590ff388064a157f911a958c504/UMovementComponent%2018d8d590ff3880369122d7011846c0f8.html),Class,,,
UPROPERTY,,Macro,,,
URadialFalloff,,Class,,,
USceneComponent,UActorComponent (Reference%201378d590ff388064a157f911a958c504/UActorComponent%2013c8d590ff388034b1ead8167ef4e4cc.html),Class,,,
UShapeComponent,UPrimitiveComponent (Reference%201378d590ff388064a157f911a958c504/UPrimitiveComponent%2013d8d590ff3880d6a153d38d7e8ffecf.html),Class,,,
USkinnedMeshComponent,UMeshComponent (Reference%201378d590ff388064a157f911a958c504/UMeshComponent%201898d590ff388008afa4c8bd5edce4e4.html),Class,,,
USoundBase,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
USplineComponent,UPrimitiveComponent (Reference%201378d590ff388064a157f911a958c504/UPrimitiveComponent%2013d8d590ff3880d6a153d38d7e8ffecf.html),Class,,,
USpringArmComponent,USceneComponent (Reference%201378d590ff388064a157f911a958c504/USceneComponent%2013c8d590ff38805a918ff25ad6bf4a96.html),Class,,,
UStaticMeshComponent,UMeshComponent (Reference%201378d590ff388064a157f911a958c504/UMeshComponent%201898d590ff388008afa4c8bd5edce4e4.html),Class,,,
UUserWidget,,Class,,,
UWidgetComponent,UMeshComponent (Reference%201378d590ff388064a157f911a958c504/UMeshComponent%201898d590ff388008afa4c8bd5edce4e4.html),Class,,,
UWidgetController,,Class,,,
UWorld,UObject (Reference%201378d590ff388064a157f911a958c504/UObject%201378d590ff3880b19696d9852e8a88d8.html),Class,,,
